date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-16,64.03,64.485,63.919,64.19,64.19,2394336,2257577,0.16,0.24988,64.21,"February 16, 24",0.0024988
2024-02-15,63.59,63.84,63.335,63.79,63.79,3214553,3214600,0.2,0.31451,63.56,"February 15, 24",0.0031451
2024-02-14,63.39,63.895,63.29,63.87,63.87,2641257,2641300,0.48,0.75722,63.62,"February 14, 24",0.0075722
2024-02-13,63.22,63.31,62.4,62.71,62.71,5663462,5663400,-0.51,-0.80671,62.87,"February 13, 24",-0.0080671
2024-02-12,63.77,65.05,63.73,64.45,64.45,5135126,5135100,0.68,1.07,64.69,"February 12, 24",0.0107
2024-02-09,63.38,63.72,62.98,63.67,63.67,2329787,2329700,0.29,0.45756,63.43,"February 09, 24",0.0045756
2024-02-08,63.28,63.39,63.055,63.28,63.28,2802744,2802700,0,0,63.24,"February 08, 24",0
2024-02-07,63.39,63.44,63.08,63.28,63.28,2740319,2740300,-0.11,-0.17353,63.26,"February 07, 24",-0.0017353
2024-02-06,62.19,62.35,62.035,62.18,62.18,3883745,3883700,-0.01,-0.01607976,62.19,"February 06, 24",-0.0001607976
2024-02-05,62.03,62.365,61.77,62.13,62.13,3185167,3185200,0.1,0.16121,62.08,"February 05, 24",0.0016121
2024-02-02,62.69,62.73,62.285,62.61,62.61,6471452,6471500,-0.08,-0.12761,62.54,"February 02, 24",-0.0012761
2024-02-01,60.86,61.33,60.69,61.3,61.3,4518954,4518900,0.44,0.72297,61.03,"February 01, 24",0.0072297
2024-01-31,59.93,60.25,59.28,59.47,59.47,5137869,5137800,-0.46,-0.76756,59.82,"January 31, 24",-0.0076756
2024-01-30,59.92,60.04,59.665,59.91,59.91,3851688,3851700,-0.01,-0.01668892,59.84,"January 30, 24",-0.0001668892
2024-01-29,60.06,60.265,59.755,60.16,60.16,3817979,3818000,0.1,0.1665,59.93,"January 29, 24",0.001665
2024-01-26,59.52,59.695,59.32,59.5,59.5,2571924,2571900,-0.02,-0.03360215,59.49,"January 26, 24",-0.0003360215
2024-01-25,59.1,59.1,58.71,58.9,58.9,2970791,2970800,-0.2,-0.33841,58.86,"January 25, 24",-0.0033841
2024-01-24,59.36,59.68,59.115,59.12,59.12,4671815,4671700,-0.24,-0.40431,59.37,"January 24, 24",-0.0040431
