date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-26,0.78697,0.7889,0.78373,0.78733,0.78733,65364,65364,0.00036,0.04574507,0.7863,"January 26, 24",0.0004574507
2024-01-25,0.78626,0.78853,0.7846,0.78698,0.78624,78592,78592,0.00072,0.09157276,0.7865,"January 25, 24",0.0009157276
2024-01-24,0.78792,0.7883,0.7827,0.78624,0.7879,74085,74085,-0.00168,-0.21322,0.7856,"January 24, 24",-0.0021322
2024-01-23,0.78697,0.7906,0.7844,0.7879,0.78697,73100,73100,0.00093,0.11817,0.7872,"January 23, 24",0.0011817
2024-01-22,0.78741,0.78821,0.7853,0.78696,0.78741,68981,68981,-0.00045,-0.05714939,0.7866,"January 22, 24",-0.0005714939
2024-01-21,0.78665,0.788022064617809,0.78595,0.78738,0.78738,2220,2220,0.00073,0.09279858,0.7872,"January 21, 24",0.0009279858
2024-01-19,0.78666,0.7898,0.7863,0.78707,0.78679,71141,71141,0.00041,0.05211909,0.7882,"January 19, 24",0.0005211909
2024-01-18,0.78876,0.79062,0.7863,0.78666,0.78884,82363,82363,-0.0021,-0.26624,0.7883,"January 18, 24",-0.0026624
2024-01-17,0.79125,0.79383,0.7875,0.78879,0.79123,85435,85435,-0.00246,-0.3109,0.79,"January 17, 24",-0.003109
2024-01-16,0.7864,0.79242,0.7862,0.79118931577948,0.7864,86586,86586,0.00478932,0.60902,0.7901,"January 16, 24",0.0060902
2024-01-15,0.78515,0.78658,0.7833,0.7864,0.78514,65693,65693,0.00125,0.15921,0.7851,"January 15, 24",0.0015921
2024-01-14,0.78413,0.785200540217972,0.78306,0.78515,0.78515,2034,2034,0.00102,0.13008,0.7847,"January 14, 24",0.0013008
2024-01-12,0.78248,0.7862,0.782,0.7842,0.78261,78776,78776,0.00172,0.21981,0.7837,"January 12, 24",0.0021981
2024-01-11,0.78461,0.788,0.782356300706468,0.7825,0.78461,71093,71093,-0.00211,-0.26892,0.7844,"January 11, 24",-0.0026892
2024-01-10,0.7866,0.78821,0.78401,0.78461,0.7866,65318,65318,-0.00199,-0.25299,0.7861,"January 10, 24",-0.0025299
2024-01-09,0.78481,0.78801,0.7833,0.78667,0.78461,80384,80384,0.00186,0.237,0.7857,"January 09, 24",0.00237
2024-01-08,0.78632,0.78902,0.7831,0.78481,0.7863,78109,78109,-0.00151,-0.19203,0.786,"January 08, 24",-0.0019203
2024-01-07,0.78539,0.78682,0.78495,0.786299517212097,0.786299517212097,1612,1612,0.00090952,0.1158,0.7865,"January 07, 24",0.001158
2024-01-05,0.78851,0.79291,0.7829,0.786225332180203,0.78839,93147,93147,-0.00228467,-0.28974,0.7876,"January 05, 24",-0.0028974
2024-01-04,0.78904,0.7901,0.7854,0.78852,0.789,87175,87175,-0.00052,-0.06590287,0.7882,"January 04, 24",-0.0006590287
2024-01-03,0.79215,0.7926,0.78855,0.78894,0.7922,90165,90165,-0.00321,-0.40523,0.7911,"January 03, 24",-0.0040523
2024-01-02,0.78564,0.793,0.7836,0.79216,0.78562,90726,90726,0.00652,0.8299,0.789,"January 02, 24",0.008299
2024-01-01,0.784867749784161,0.7929,0.78237,0.78564,0.78555,6072,6072,0.00077225,0.0983924,0.7856,"January 01, 24",0.000983924
2023-12-31,0.785545954438335,0.785545954438335,0.784867749784161,0.785545954438335,0.785545954438335,3,3,0,0,0.7853,"December 31, 23",0
2023-12-29,0.78521,0.78735,0.78278,0.785422557335847,0.7853,76220,76220,0.00021256,0.02707013,0.785,"December 29, 23",0.0002707013
2023-12-28,0.7812,0.78658,0.77949,0.78522,0.7812,78761,78761,0.00402,0.51459,0.7827,"December 28, 23",0.0051459
2023-12-27,0.78574,0.7875,0.78048,0.78111,0.78572,74357,74357,-0.00463,-0.58925,0.784,"December 27, 23",-0.0058925
