date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-19,188.26,188.27,187.6299,187.72,187.72,1256174,1256174,-0.54,-0.28683735,187.87,"January 19, 24",-0.0028683735
2024-01-18,186.36,187.4,186.3,187.37,187.37,4611686,4569482,1.01,0.54196,186.92,"January 18, 24",0.0054196
2024-01-17,187.31,187.42,185.45,185.84,185.84,17325337,8643200,-1.47,-0.7848,186.09,"January 17, 24",-0.007848
2024-01-16,189.15,189.26,187.54,187.91,187.91,6548068,6548100,-1.24,-0.65556,188.25,"January 16, 24",-0.0065556
2024-01-12,190.67,191.08,189.16,189.71,189.71,6833678,6831400,-0.96,-0.50349,190.05,"January 12, 24",-0.0050349
2024-01-11,188.02,188.55,186.56,187.87,187.87,6831086,6831100,-0.15,-0.07977875,187.48,"January 11, 24",-0.0007977875
2024-01-10,188.14,188.44,187.205,187.5,187.5,4504726,4504700,-0.64,-0.34017,187.62,"January 10, 24",-0.0034017
2024-01-09,188.68,188.78,187.73,187.93,187.93,4437269,4437300,-0.75,-0.3975,188.15,"January 09, 24",-0.003975
2024-01-08,187.21,188.74,187.11,187.87,187.87,6214968,6215000,0.66,0.35255,187.89,"January 08, 24",0.0035255
2024-01-05,189.68,191.26,189.08,189.35,189.35,7455883,7481200,-0.33,-0.17398,189.89,"January 05, 24",-0.0017398
2024-01-04,189.08,189.75,188.69,189.32,189.32,4416743,4416700,0.24,0.12693,189.33,"January 04, 24",0.0012693
2024-01-03,188.77,189.86,188.16,189.13,189.13,8601568,8661600,0.36,0.19071,188.79,"January 03, 24",0.0019071
2024-01-02,191.44,191.89,190.5,190.72,190.72,6025646,6025600,-0.72,-0.3761,191.15,"January 02, 24",-0.003761
2023-12-29,190.99,191.64,190.74,191.17,191.17,4612349,4610300,0.18,0.09424577,191.29,"December 29, 23",0.0009424577
2023-12-28,192.34,192.89,191.44,191.47,191.47,6171506,6171500,-0.87,-0.45232,192.12,"December 28, 23",-0.0045232
2023-12-27,191.77,193.1823,191.54,192.59,192.59,5813295,5813300,0.82,0.4276,192.52,"December 27, 23",0.004276
2023-12-26,190.97,191.74,190.4,191.72,191.72,4502664,4502700,0.75,0.39273,191.02,"December 26, 23",0.0039273
2023-12-22,191.6,191.88,190.07,190.27,190.27,7107542,7175400,-1.33,-0.69415,190.79,"December 22, 23",-0.0069415
2023-12-21,189.21,189.62,188.75,189.43,189.43,4619995,4620000,0.22,0.11627,189.25,"December 21, 23",0.0011627
2023-12-20,188.69,188.96,188.085,188.1,188.1,6002395,6002400,-0.59,-0.31268,188.47,"December 20, 23",-0.0031268
2023-12-19,188.23,189.7239,188.13,189.13,189.13,6025564,6025600,0.9,0.47814,189.16,"December 19, 23",0.0047814
2023-12-18,187.5,188.49,187.24,187.85,187.85,5351795,5358000,0.35,0.18667,187.71,"December 18, 23",0.0018667
2023-12-15,188.52,188.96,186.82,187,187,8324824,8323800,-1.52,-0.80628,187.79,"December 15, 23",-0.0080628
2023-12-14,188.8649,189.82,188.08,188.73,188.73,9007157,9107200,-0.1349,-0.07142672,188.93,"December 14, 23",-0.0007142672
2023-12-13,183.82,187.66,183.38,187.63,187.63,10635500,10635500,3.81,2.07,185.92,"December 13, 23",0.0207
2023-12-12,183.844,183.98,183.26,183.49,183.49,5056911,5056900,-0.354,-0.19255,183.64,"December 12, 23",-0.0019255
2023-12-11,184.5,184.53,183.1513,183.59,183.59,8508327,8519500,-0.91,-0.49322,183.74,"December 11, 23",-0.0049322
2023-12-08,185.93,186.78,184.9,185.64,185.64,7883204,7880300,-0.29,-0.15597,185.85,"December 08, 23",-0.0015597
2023-12-07,188.45,188.59,187.26,188.15,188.15,5802025,5802000,-0.3,-0.15919,188.07,"December 07, 23",-0.0015919
2023-12-06,188.32,188.46,187.5,187.84,187.84,5778604,5778600,-0.48,-0.25489,187.98,"December 06, 23",-0.0025489
2023-12-05,187.5501,187.88,186.3,187.15,187.15,7027722,7027700,-0.4001,-0.21333,187.14,"December 05, 23",-0.0021333
2023-12-04,189.599,190.38,187.26,187.86,187.86,18441644,18460500,-1.739,-0.9172,188.24,"December 04, 23",-0.009172
2023-12-01,188.805,192.395,188.685,192.01,192.01,16727571,16724900,3.205,1.7,191.24,"December 01, 23",0.017
2023-11-30,188.89,189.24,188.28,188.75,188.75,7204123,7558100,-0.14,-0.07411721,188.78,"November 30, 23",-0.0007411721
2023-11-29,189.16,189.99,189.02,189.54,189.54,8372753,8407300,0.38,0.20089,189.45,"November 29, 23",0.0020089
2023-11-28,187.9,189.4,187.52,189.26,189.26,10901890,10901900,1.36,0.72379,188.76,"November 28, 23",0.0072379
2023-11-27,186.56,186.8,185.93,186.77,186.77,6320420,6320400,0.21,0.11256,186.51,"November 27, 23",0.0011256
2023-11-24,185.47,185.75,185.16,185.52,185.52,2445058,2445100,0.05,0.02695854,185.49,"November 24, 23",0.0002695854
2023-11-22,185.47,185.72,184.2715,184.56,184.56,4338209,4337700,-0.91,-0.49065,184.81,"November 22, 23",-0.0049065
2023-11-21,185.57,186.115,185.065,185.35,185.35,7322379,7322400,-0.22,-0.11855,185.58,"November 21, 23",-0.0011855
2023-11-20,182.32,183.48,182.225,183.37,183.37,5393464,5389300,1.05,0.57591,183.02,"November 20, 23",0.0057591
2023-11-17,183.96,184.125,183.45,183.67,183.67,4871297,4871100,-0.29,-0.15764,183.74,"November 17, 23",-0.0015764
2023-11-16,182.8457,184.32,182.8,183.69,183.69,8253348,8253300,0.8443,0.46176,183.78,"November 16, 23",0.0046176
2023-11-15,182.03,182.18,181.31,181.64,181.64,4909399,4909400,-0.39,-0.21425,181.81,"November 15, 23",-0.0021425
2023-11-14,181.7,182.75,181.62,182.12,182.12,6831639,6831600,0.42,0.23115,182.08,"November 14, 23",0.0023115
2023-11-13,179.4,180.73,179.11,180.51,180.51,5385908,5385900,1.11,0.61873,180.1,"November 13, 23",0.0061873
2023-11-10,180.51,180.585,179.245,179.51,179.51,7611618,7606600,-1,-0.55399,179.73,"November 10, 23",-0.0055399
2023-11-09,180.98,182.28,180.89,181.49,181.49,6442536,6486300,0.51,0.2818,181.7,"November 09, 23",0.002818
2023-11-08,182.01,182.065,180.5699,180.77,180.77,6738304,6738300,-1.24,-0.68128,181.14,"November 08, 23",-0.0068128
2023-11-07,182.25,182.65,181.75,182.59,182.59,6648895,6795800,0.34,0.18656,182.25,"November 07, 23",0.0018656
2023-11-06,184.14,184.23,183.34,183.35,183.35,8274666,8274700,-0.79,-0.42902,183.78,"November 06, 23",-0.0042902
2023-11-03,184.48,185.47,184.35,184.79,184.79,8530399,8529000,0.31,0.16804,184.83,"November 03, 23",0.0016804
2023-11-02,184.13,184.28,183.5,184.12,184.12,7343699,7343700,-0.01,-0.00543095,183.96,"November 02, 23",-5.43095e-05
2023-11-01,183.91,185,182.67,183.51,183.51,9048562,9048600,-0.4,-0.2175,183.74,"November 01, 23",-0.002175
2023-10-31,185.08,186.21,183.495,184.09,184.09,10104569,10104600,-0.99,-0.5349,184.73,"October 31, 23",-0.005349
2023-10-30,185.54,185.7,184.73,185.1,185.1,8753895,8756400,-0.44,-0.23715,185.25,"October 30, 23",-0.0023715
2023-10-27,183.76,186.36,183.47,186.15,186.15,14102828,14102800,2.39,1.3,185.09,"October 27, 23",0.013
2023-10-26,183.4,184.49,182.87,184.01,184.01,7671406,7671400,0.61,0.33261,183.82,"October 26, 23",0.0033261
2023-10-25,183.42,184.2993,182.04,183.72,183.72,10087016,10087000,0.3,0.16356,183.52,"October 25, 23",0.0016356
2023-10-24,182.07,183.4,181.68,182.95,182.95,6593963,6594000,0.88,0.48333,182.56,"October 24, 23",0.0048333
2023-10-23,183.5099,183.56,182.705,182.97,182.97,9479805,9479800,-0.5399,-0.29421,183.2,"October 23, 23",-0.0029421
2023-10-20,183.43,185.23,183.09,183.59,183.59,12785667,12782800,0.16,0.08722673,184.15,"October 20, 23",0.0008722673
2023-10-19,181.04,183.43,180.82,183.09,183.09,13406560,13406600,2.05,1.13,182.19,"October 19, 23",0.0113
2023-10-18,180.894,182.02,179.75,180.87,180.87,13920793,13920800,-0.024,-0.01326744,180.97,"October 18, 23",-0.0001326744
2023-10-17,178.37,179.13,177.98,178.29,178.29,8231866,8231900,-0.08,-0.04485059,178.46,"October 17, 23",-0.0004485059
2023-10-16,177.84,178.33,177.535,177.96,177.96,8348028,8385400,0.12,0.06747638,178,"October 16, 23",0.0006747638
2023-10-13,176.8921,179.095,176.72,178.83,178.83,18702885,18796500,1.9379,1.1,178.23,"October 13, 23",0.011
2023-10-12,174.06,174.23,173.24,173.26,173.26,5912663,5912700,-0.8,-0.45961,173.58,"October 12, 23",-0.0045961
2023-10-11,173.6,174.125,173.26,173.79,173.79,7128002,7128000,0.19,0.10945,173.69,"October 11, 23",0.0010945
2023-10-10,172.08,172.795,171.9,172.53,172.53,5843995,5844000,0.45,0.26151,172.42,"October 10, 23",0.0026151
2023-10-09,171.18,172.86,171.075,172.82,172.82,10201547,10201500,1.64,0.95806,171.94,"October 09, 23",0.0095806
2023-10-06,169.17,170.23,168.5,169.7,169.7,9948433,9942200,0.53,0.31329,169.63,"October 06, 23",0.0031329
2023-10-05,168.74,169,168.3,168.83,168.83,6970219,6970200,0.09,0.05333649,168.68,"October 05, 23",0.0005333649
2023-10-04,169.21,169.41,168.5,169.14,169.14,10034600,10034600,-0.07,-0.04136871,168.89,"October 04, 23",-0.0004136871
2023-10-03,169.14,170.08,168.745,169.16,169.16,11459840,11459800,0.02,0.01182452,169.31,"October 03, 23",0.0001182452
2023-10-02,170.23,170.46,169.5,169.65,169.65,12706027,12706000,-0.58,-0.34072,169.9,"October 02, 23",-0.0034072
2023-09-29,173.92,174.03,171.265,171.45,171.45,10427383,10424900,-2.47,-1.42,172.16,"September 29, 23",-0.0142
2023-09-28,173.91,174.135,172.32,173.23,173.23,10019917,10061900,-0.68,-0.39101,173.15,"September 28, 23",-0.0039101
2023-09-27,175.27,175.32,173.7,174.1,174.1,10919579,10919600,-1.17,-0.66754,174.4,"September 27, 23",-0.0066754
2023-09-26,176.825,177.14,176.16,176.28,176.28,7181080,7181100,-0.545,-0.30821,176.51,"September 26, 23",-0.0030821
2023-09-25,178.41,178.71,177.64,177.7,177.7,5582074,5582100,-0.71,-0.39796,177.93,"September 25, 23",-0.0039796
2023-09-22,178.65,178.95,178.51,178.62,178.62,3637075,3634800,-0.03,-0.01679261,178.7,"September 22, 23",-0.0001679261
2023-09-21,177.86,178.485,177.69,178.05,178.05,7573300,7571900,0.19,0.10683,178.06,"September 21, 23",0.0010683
2023-09-20,179.34,180.66,179.32,179.35,179.35,9330262,9328000,0.01,0.005576,180.09,"September 20, 23",5.576e-05
2023-09-19,179.54,179.65,179.03,179.22,179.22,4225102,4224700,-0.32,-0.17823,179.32,"September 19, 23",-0.0017823
2023-09-18,178.82,179.41,178.38,179.39,179.39,5049308,5049300,0.57,0.31876,179.09,"September 18, 23",0.0031876
2023-09-15,178.55,179.105,178.34,178.34,178.34,5616888,5619600,-0.21,-0.11761,178.66,"September 15, 23",-0.0011761
2023-09-14,176.5,177.39,176.36,177.17,177.17,6184382,6184400,0.67,0.3796,176.96,"September 14, 23",0.003796
2023-09-13,177.53,177.75,177.035,177.08,177.08,3829788,3874800,-0.45,-0.25348,177.29,"September 13, 23",-0.0025348
2023-09-12,177.11,177.7,177.05,177.49,177.49,4445435,4445400,0.38,0.21456,177.42,"September 12, 23",0.0021456
2023-09-11,178.97,179.07,178.261,178.41,178.41,3689085,3689100,-0.56,-0.3129,178.5,"September 11, 23",-0.003129
2023-09-08,178.36,179.045,177.9,178.08,178.08,3293699,3292700,-0.28,-0.15699,178.4,"September 08, 23",-0.0015699
2023-09-07,178.31,178.3701,177.9,178.02,178.02,3203213,3257200,-0.29,-0.16264,178.09,"September 07, 23",-0.0016264
2023-09-06,178.33,179.01,177.7,177.83,177.83,6427224,6427200,-0.5,-0.28038,178.02,"September 06, 23",-0.0028038
2023-09-05,179.33,179.4438,178.64,178.64,178.64,6894834,7056800,-0.69,-0.38477,178.84,"September 05, 23",-0.0038477
2023-09-01,180.8,181.12,179.51,180.11,180.11,4970732,4969300,-0.69,-0.38164,180.17,"September 01, 23",-0.0038164
2023-08-31,180.37,180.49,179.94,180.02,180.02,4795626,4795600,-0.35,-0.19405,180.18,"August 31, 23",-0.0019405
2023-08-30,180.58,180.88,180.29,180.32,180.32,6593692,6593700,-0.26,-0.14398,180.51,"August 30, 23",-0.0014398
2023-08-29,178.03,179.88,177.9,179.87,179.87,7576640,7576600,1.84,1.03,179.44,"August 29, 23",0.0103
2023-08-28,177.65,178.73,177.51,178.13,178.13,4740683,4740700,0.48,0.27019,178.16,"August 28, 23",0.0027019
2023-08-25,177.58,178.38,176.63,177.62,177.62,6132927,6132800,0.04,0.02252506,177.41,"August 25, 23",0.0002252506
2023-08-24,177.66,178.49,177.41,177.85,177.85,5526428,5526400,0.19,0.10695,177.98,"August 24, 23",0.0010695
2023-08-23,177.32,178.22,177.07,177.89,177.89,7949056,7949100,0.57,0.32145,177.8,"August 23, 23",0.0032145
2023-08-22,175.83,176.25,175.31,176.1,176.1,5892540,5892500,0.27,0.15356,175.97,"August 22, 23",0.0015356
2023-08-21,175.9,175.94,174.96,175.81,175.81,4046360,4206400,-0.09,-0.05116543,175.53,"August 21, 23",-0.0005116543
2023-08-18,175.83,176.055,175.1,175.33,175.33,6253027,6251000,-0.5,-0.28437,175.49,"August 18, 23",-0.0028437
2023-08-17,176.53,176.56,174.93,175.3,175.3,7937672,7937700,-1.23,-0.69677,175.45,"August 17, 23",-0.0069677
2023-08-16,176.62,176.945,175.56,175.57,175.57,6559418,6559400,-1.05,-0.5945,176.16,"August 16, 23",-0.005945
