date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-03,76.72,76.79,76.55,76.77,76.77,4702519,4702519,0.05,0.06517205,76.7,"January 03, 24",0.0006517205
2024-01-02,77.13,77.24,77.04,77.13,77.13,41569527,41505081,0,0,77.14,"January 02, 24",0
2023-12-29,77.67,77.86,77.39,77.39,77.39,36993912,36993900,-0.28,-0.3605,77.63,"December 29, 23",-0.003605
2023-12-28,77.9,77.91,77.54,77.69,77.69,22648105,22648100,-0.21,-0.26958,77.7,"December 28, 23",-0.0026958
2023-12-27,77.67,78.08,77.615,77.94,77.94,22735330,22835300,0.27,0.34762,77.88,"December 27, 23",0.0034762
2023-12-26,77.5,77.63,77.48,77.62,77.62,12244723,12374700,0.12,0.15484,77.56,"December 26, 23",0.0015484
2023-12-22,77.69,77.75,77.4242,77.47,77.47,18048389,18048400,-0.22,-0.28318,77.56,"December 22, 23",-0.0028318
2023-12-21,77.51,77.63,77.32,77.56,77.56,22861403,22861400,0.05,0.06450781,77.47,"December 21, 23",0.0006450781
2023-12-20,77.29,77.54,77.17,77.21,77.21,38358523,38376400,-0.08,-0.10351,77.36,"December 20, 23",-0.0010351
2023-12-19,77.07,77.29,77.04,77.2,77.2,25269420,25269400,0.13,0.16868,77.2,"December 19, 23",0.0016868
2023-12-18,77.08,77.08,76.73,76.98,76.98,34673612,34793600,-0.1,-0.12974,76.88,"December 18, 23",-0.0012974
2023-12-15,77.03,77.35,76.75,76.93,76.93,36336526,36336400,-0.1,-0.12982,76.96,"December 15, 23",-0.0012982
2023-12-14,77.13,77.38,76.95,77.1,77.1,67128164,67220400,-0.03,-0.03889537,77.15,"December 14, 23",-0.0003889537
2023-12-13,76.1,77.15,76.06,77.14,76.76,64201329,64201300,1.04,1.37,76.53,"December 13, 23",0.0137
2023-12-12,75.77,76.01,75.595,75.98,75.61,29203371,29203400,0.21,0.27715,75.85,"December 12, 23",0.0027715
2023-12-11,75.8,75.82,75.57,75.81,75.44,30141666,30141700,0.01,0.01319261,75.71,"December 11, 23",0.0001319261
2023-12-08,75.81,75.91,75.67,75.86,75.49,30123193,30044200,0.05,0.06595436,75.8,"December 08, 23",0.0006595436
2023-12-07,75.99,76.14,75.92,76.01,76.01,27779432,27779300,0.02,0.02631925,76.02,"December 07, 23",0.0002631925
2023-12-06,75.96,76.03,75.83,75.88,75.88,21202222,21297200,-0.08,-0.10532,75.95,"December 06, 23",-0.0010532
