date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-16,1319.75,1337.99,1319.06,1337.53,1337.53,61495,61495,17.78,1.34722,1331.53,"January 16, 24",0.0134722
2024-01-15,1312.53,1322.38,1312.53,1319.59,1319.83997,46084,46084,7.06,0.53789,1320.04,"January 15, 24",0.0053789
2024-01-14,1312.85,1312.85,1312.85,1312.85,1312.85,1,1,0,0,1312.85,"January 14, 24",0
2024-01-12,1312.04,1318,1301.09,1310.12,1311.98999,69026,69026,-1.92,-0.14634,1312.76,"January 12, 24",-0.0014634
2024-01-11,1318.62,1320.3,1273,1312.78,1317.5,64731,64731,-5.84,-0.44289,1316.03,"January 11, 24",-0.0044289
2024-01-10,1319.79,1323.53,1314.37,1318.32,1319.79004,65012,65012,-1.47,-0.11138,1319.45,"January 10, 24",-0.0011138
2024-01-09,1311.87,1323.52,1307.32,1320.2,1311.80005,67876,67876,8.33,0.63497,1314.63,"January 09, 24",0.0063497
2024-01-08,1312.45,1321.1,1308.84,1311.8,1313.13001,62310,62310,-0.65,-0.0495257,1315.7,"January 08, 24",-0.000495257
2024-01-07,1313.13,1313.13,1313.13,1313.13,1313.13,1,1,0,0,1313.13,"January 07, 24",0
2024-01-05,1310.98,1322.76,1304.95,1306.72,1311.25,80212,80212,-4.26,-0.32495,1313.66,"January 05, 24",-0.0032495
2024-01-04,1309,1315.1,1303.57,1310.8,1309.53003,75512,75512,1.8,0.13751,1310.21,"January 04, 24",0.0013751
2024-01-03,1307.4,1313.1,1302.74,1309.53,1307.62,75791,75791,2.13,0.16292,1309.41,"January 03, 24",0.0016292
2024-01-02,2.4,1313.74,2.4,1309.45,1293.54004,61411,61411,1307.05,54460.42,1306,"January 02, 24",544.6042
2024-01-01,1293.57,1293.57,2.28,2.3,1293.53003,11,11,-1291.27,-99.82,803.94,"January 01, 24",-0.9982
2023-12-31,1293.53,1293.53,1293.53,1293.53,1293.53,1,1,0,0,1293.53,"December 31, 23",0
2023-12-29,1277.84,1301.92,1158.07,1284.1,1277.83997,35694,35694,6.26,0.48989,1292.97,"December 29, 23",0.0048989
2023-12-28,1294.26,1294.6,1275.11,1285.07,1294.76001,62795,62795,-9.19,-0.71006,1288.11,"December 28, 23",-0.0071006
2023-12-27,1290,1301.79,1285.34,1294.75,1293.92004,55711,55711,4.75,0.36822,1293.93,"December 27, 23",0.0036822
2023-12-26,1295.05,1299.46,1256.38,1293.93,1294.57996,40765,40765,-1.12,-0.08648315,1295.69,"December 26, 23",-0.0008648315
2023-12-25,1298.36,1298.69,1294.58,1295.25,1297.35999,1467,1467,-3.11,-0.23953,1296.73,"December 25, 23",-0.0023953
2023-12-24,1297.03,1297.36,1297.03,1297.36,1297.36,2,2,0.33,0.02544274,1297.2,"December 24, 23",0.0002544274
2023-12-22,1291.71,1303.35,1289.55,1297.69,1291.70996,62410,62410,5.98,0.46295,1299.2,"December 22, 23",0.0046295
2023-12-21,1296.85,1307.29,1280.82,1292.87,1296.97998,61130,61130,-3.98,-0.3069,1301.83,"December 21, 23",-0.003069
2023-12-20,1297.58,1314.44,1295.52,1296.98,1297.76001,60632,60632,-0.6,-0.04623992,1300.01,"December 20, 23",-0.0004623992
2023-12-19,1300.1,1310.17,1290.47,1300.9,1302.93005,66269,66269,0.8,0.06153373,1304.88,"December 19, 23",0.0006153373
2023-12-18,1300.3,1306.92,1294.95,1302.84,1276.46997,57847,57847,2.54,0.19534,1299.4,"December 18, 23",0.0019534
2023-12-17,1276.47,1276.47,1276.47,1276.47,1276.47,1,1,0,0,1276.47,"December 17, 23",0
