date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-16,21.14,21.1698,21.055,21.0745,21.0745,2218799,2218799,-0.0655,-0.30983917,21.1,"January 16, 24",-0.0030983917
2024-01-12,21.39,21.54,21.11,21.19,21.19,18872634,18815631,-0.2,-0.93502,21.32,"January 12, 24",-0.0093502
2024-01-11,20.97,21.0722,20.57,20.82,20.82,21816130,21816100,-0.15,-0.71531,20.77,"January 11, 24",-0.0071531
2024-01-10,20.93,21.0175,20.85,20.94,20.94,12093724,12093700,0.01,0.04777831,20.93,"January 10, 24",0.0004777831
2024-01-09,21.22,21.25,20.96,21,21,10772341,10772300,-0.22,-1.04,21.05,"January 09, 24",-0.0104
2024-01-08,21.07,21.245,21,21.13,21.13,9322905,9527900,0.06,0.28477,21.14,"January 08, 24",0.0028477
2024-01-05,21.15,21.53,21.0344,21.21,21.21,21401777,21396300,0.06,0.28369,21.3,"January 05, 24",0.0028369
2024-01-04,20.92,21.1,20.77,21.08,21.08,11971961,11972000,0.16,0.76482,20.99,"January 04, 24",0.0076482
2024-01-03,21.08,21.22,20.91,21.06,21.06,26373830,26373800,-0.02,-0.09487666,21.05,"January 03, 24",-0.0009487666
2024-01-02,21.89,21.99,21.64,21.65,21.65,13277809,13277800,-0.24,-1.1,21.79,"January 02, 24",-0.011
2023-12-29,21.62,21.95,21.56,21.78,21.78,13161231,13151200,0.16,0.74006,21.81,"December 29, 23",0.0074006
2023-12-28,22.17,22.25,21.96,21.99,21.99,11257823,11257800,-0.18,-0.81191,22.09,"December 28, 23",-0.0081191
2023-12-27,22.1,22.395,22.09,22.23,22.23,13898442,13898400,0.13,0.58824,22.25,"December 27, 23",0.0058824
2023-12-26,22.21,22.22,22.04,22.2,22.2,11861737,11861700,-0.01,-0.04502476,22.16,"December 26, 23",-0.0004502476
2023-12-22,22.41,22.5252,22.05,22.12,22.12,17235831,17222200,-0.29,-1.29,22.28,"December 22, 23",-0.0129
2023-12-21,22.28,22.42,22.195,22.31,22.31,17063588,17063600,0.03,0.13465,22.29,"December 21, 23",0.0013465
2023-12-20,22.26,22.31,22.04,22.04,22.04,12523604,12523600,-0.22,-0.98832,22.2,"December 20, 23",-0.0098832
2023-12-19,21.91,22.13,21.89,22.03,22.03,12752745,12752700,0.12,0.5477,22.04,"December 19, 23",0.005477
2023-12-18,21.88,21.88,21.66,21.8,21.8,12927446,12927400,-0.08,-0.36563,21.77,"December 18, 23",-0.0036563
2023-12-15,21.98,22.025,21.75,21.83,21.83,13077984,12013400,-0.15,-0.68244,21.89,"December 15, 23",-0.0068244
2023-12-14,21.99,22.18,21.99,22.15,22.15,21384058,21384100,0.16,0.7276,22.1,"December 14, 23",0.007276
2023-12-13,20.75,21.78,20.6123,21.77,21.77,35068023,35068000,1.02,4.92,21.27,"December 13, 23",0.0492
2023-12-12,20.965,20.975,20.78,20.84,20.84,12118699,12118700,-0.125,-0.59623,20.89,"December 12, 23",-0.0059623
2023-12-11,20.965,21,20.81,20.91,20.91,22883655,22883700,-0.055,-0.26234,20.9,"December 11, 23",-0.0026234
2023-12-08,21.35,21.56,21.015,21.1,21.1,28746451,28718900,-0.25,-1.17,21.27,"December 08, 23",-0.0117
2023-12-07,21.89,21.91,21.6,21.79,21.79,16758464,16758500,-0.1,-0.45683,21.77,"December 07, 23",-0.0045683
