date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-19,79.87,80.18,79.59,80.17,80.17,20778746,19826911,0.3,0.37561,79.91,"January 19, 24",0.0037561
2024-01-18,80.06,80.13,78.9823,79.91,79.91,17840697,17852800,-0.15,-0.18736,79.63,"January 18, 24",-0.0018736
2024-01-17,79.88,80.84,79.7,80.04,80.04,19642135,19642100,0.16,0.2003,80.17,"January 17, 24",0.002003
2024-01-16,82.5,82.61,80.66,80.71,80.71,18015626,18015600,-1.79,-2.17,81.22,"January 16, 24",-0.0217
2024-01-12,83.02,83.345,82.18,82.68,82.68,19384595,19375800,-0.34,-0.40954,82.54,"January 12, 24",-0.0040954
2024-01-11,81.99,82.2,81.43,81.76,81.76,19283485,19294300,-0.23,-0.28052,81.8,"January 11, 24",-0.0028052
2024-01-10,82.52,82.5505,81.22,81.55,81.55,16579879,16579900,-0.97,-1.18,81.62,"January 10, 24",-0.0118
2024-01-09,83.81,83.9,82.175,82.36,82.36,16875228,16875200,-1.45,-1.73,82.57,"January 09, 24",-0.0173
2024-01-08,83.24,83.8,82.1025,83.7,83.7,23609342,23609300,0.46,0.55262,83,"January 08, 24",0.0055262
2024-01-05,85.42,85.46,84.2882,84.68,84.68,17014649,17010500,-0.74,-0.86631,84.79,"January 05, 24",-0.0086631
2024-01-04,86.74,87.11,84.56,84.61,84.61,21024516,21024500,-2.13,-2.46,85.45,"January 04, 24",-0.0246
2024-01-03,84.87,86.425,84.44,86.12,86.12,18961399,18968000,1.25,1.47,85.77,"January 03, 24",0.0147
2024-01-02,84.43,85.52,84.31,84.74,84.74,19650895,19650900,0.31,0.36717,84.9,"January 02, 24",0.0036717
2023-12-29,84.32,84.4,83.59,83.84,83.84,12172730,12170700,-0.48,-0.56926,83.86,"December 29, 23",-0.0056926
2023-12-28,84.89,85.215,84,84.03,84.03,13099049,13099000,-0.86,-1.01,84.51,"December 28, 23",-0.0101
2023-12-27,85.71,86,85.02,85.33,85.33,10119096,10119100,-0.38,-0.44336,85.43,"December 27, 23",-0.0044336
2023-12-26,85.7,86.165,85.44,85.71,85.71,12991727,12991700,0.01,0.01166861,85.86,"December 26, 23",0.0001166861
2023-12-22,85.34,85.715,84.845,84.98,84.98,12345463,12518900,-0.36,-0.42184,85.26,"December 22, 23",-0.0042184
