date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-19,139.46,139.82,138.69,139.46,139.46,8731313,8743402,0,0,139.42,"January 19, 24",0
2024-01-18,138.2,139.515,137.52,139.38,139.38,8929332,8929300,1.18,0.85384,138.43,"January 18, 24",0.0085384
2024-01-17,139.45,140.09,139.01,139.4,139.4,8337301,8337200,-0.05,-0.03585515,139.56,"January 17, 24",-0.0003585515
2024-01-16,140.17,140.36,139.46,139.68,139.68,7426944,7426900,-0.49,-0.34958,139.92,"January 16, 24",-0.0034958
2024-01-12,140.48,141.16,140.05,140.52,140.52,8026508,8026400,0.04,0.0284738,140.48,"January 12, 24",0.000284738
2024-01-11,140.79,141.025,140,140.87,140.87,7182331,7182300,0.08,0.05682222,140.53,"January 11, 24",0.0005682222
2024-01-10,140.41,141.14,139.88,140.97,140.97,9773320,9773300,0.56,0.39883,140.63,"January 10, 24",0.0039883
2024-01-09,140.2,141.56,139.87,140.33,140.33,9201275,9201300,0.13,0.09272468,140.66,"January 09, 24",0.0009272468
2024-01-08,139.16,140.38,138.59,140.35,140.35,7999385,7999400,1.19,0.85513,139.56,"January 08, 24",0.0085513
2024-01-05,138.92,139.7,138.5301,139.12,139.12,9437671,9436900,0.2,0.14397,139.12,"January 05, 24",0.0014397
2024-01-04,138.98,140,138.74,139.24,139.24,11649191,11649200,0.26,0.18708,139.45,"January 04, 24",0.0018708
2024-01-03,139.24,139.53,138.38,138.55,138.55,9584991,9585000,-0.69,-0.49555,138.78,"January 03, 24",-0.0049555
2024-01-02,136.04,139.05,135.965,138.78,138.78,11785898,11785900,2.74,2.01,138.41,"January 02, 24",0.0201
2023-12-29,136.24,136.62,135.825,136.38,136.38,5590052,5590000,0.14,0.10276,136.28,"December 29, 23",0.0010276
2023-12-28,136,136.695,135.98,136.24,136.24,5800264,5800200,0.24,0.17647,136.42,"December 28, 23",0.0017647
2023-12-27,135.17,135.98,135.14,135.89,135.89,5444087,5444100,0.72,0.53266,135.65,"December 27, 23",0.0053266
2023-12-26,134.91,135.675,134.74,135.32,135.32,3688653,3688600,0.41,0.30391,135.16,"December 26, 23",0.0030391
2023-12-22,134.68,135.44,134.475,135.02,135.02,5355138,5355100,0.34,0.25245,135.03,"December 22, 23",0.0025245
2023-12-21,133.53,134.445,133.22,134.35,134.35,5606916,5606800,0.82,0.61409,133.94,"December 21, 23",0.0061409
2023-12-20,134.6,134.68,132.72,132.73,132.73,7299039,7299000,-1.87,-1.39,133.88,"December 20, 23",-0.0139
2023-12-19,133.95,134.75,133.74,134.68,134.68,6358227,6358200,0.73,0.54498,134.4,"December 19, 23",0.0054498
2023-12-18,134.06,134.2,133.43,133.78,133.78,5944319,5944300,-0.28,-0.20886,133.85,"December 18, 23",-0.0020886
2023-12-15,134.68,134.94,133.66,134.16,133.56,8296654,8296600,-0.52,-0.3861,134.07,"December 15, 23",-0.003861
2023-12-14,136.43,136.51,134.8,135.31,134.71,10098714,10098700,-1.12,-0.82093,135.39,"December 14, 23",-0.0082093
2023-12-13,132.94,136.01,132.76,135.97,135.36,9074339,9074300,3.03,2.28,134.78,"December 13, 23",0.0228
2023-12-12,133.13,133.7,132.5,133.51,132.91,6779000,6779000,0.38,0.28544,133.24,"December 12, 23",0.0028544
2023-12-11,132.78,133.19,132.13,132.94,132.35,9016800,9016800,0.16,0.1205,132.75,"December 11, 23",0.001205
2023-12-08,131.94,132.38,131.28,132.07,131.48,6007600,6007600,0.13,0.09852963,131.91,"December 08, 23",0.0009852963
2023-12-07,132.03,132.35,131.25,131.85,131.26,6396700,6396700,-0.18,-0.13633,131.82,"December 07, 23",-0.0013633
2023-12-06,132.2,132.45,131.75,132.01,131.42,6210400,6210400,-0.19,-0.14372,132.07,"December 06, 23",-0.0014372
2023-12-05,131.81,132.12,131.09,131.91,131.32,6581000,6581000,0.1,0.07586678,131.71,"December 05, 23",0.0007586678
2023-12-04,131.48,132.33,131.44,132.08,131.49,6943900,6943900,0.6,0.45634,131.95,"December 04, 23",0.0045634
2023-12-01,131.13,131.97,131.03,131.83,131.24,9370900,9370900,0.7,0.53382,131.61,"December 01, 23",0.0053382
