date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-19,173.49,175.2402,172.45,174.89,174.87,4886973,4883568,1.4,0.80696,173.98,"January 19, 24",0.0080696
2024-01-18,173.06,173.43,171.32,173.22,173.22,4963099,4963000,0.16,0.09245348,172.73,"January 18, 24",0.0009245348
2024-01-17,171.93,172.3,170.96,172.24,172.24,3980924,3980900,0.31,0.18031,171.81,"January 17, 24",0.0018031
2024-01-16,172.91,174.44,172.4,173.76,173.76,4488088,4488100,0.85,0.49159,173.49,"January 16, 24",0.0049159
2024-01-12,175.35,176.15,173.63,173.96,173.96,3722220,3722200,-1.39,-0.7927,174.49,"January 12, 24",-0.007927
2024-01-11,176.11,176.665,174.24,176.08,176.08,4296029,4296000,-0.03,-0.01703481,175.42,"January 11, 24",-0.0001703481
2024-01-10,175.18,176.735,175.14,176.31,176.31,3812219,3812200,1.13,0.64505,175.99,"January 10, 24",0.0064505
2024-01-09,174.28,175.155,173.83,174.91,174.91,4165030,4165000,0.63,0.36149,174.61,"January 09, 24",0.0036149
2024-01-08,172.92,175.76,172.875,175.56,175.56,4071330,4071300,2.64,1.53,174.49,"January 08, 24",0.0153
2024-01-05,171.91,174.03,171.84,172.62,172.62,6042422,6042200,0.71,0.41301,172.91,"January 05, 24",0.0041301
2024-01-04,172.87,174.49,172.29,172.35,172.35,5957540,5957500,-0.52,-0.3008,173.11,"January 04, 24",-0.003008
2024-01-03,175.97,176.06,173.5,173.57,173.57,7761426,7761400,-2.4,-1.36,174.46,"January 03, 24",-0.0136
2024-01-02,178.25,178.33,176.465,177.15,177.15,7684781,7684800,-1.1,-0.61711,177.4,"January 02, 24",-0.0061711
2023-12-29,179.99,180.29,178.2,178.81,178.81,4134338,4133200,-1.18,-0.65559,179.02,"December 29, 23",-0.0065559
2023-12-28,181.12,181.46,179.78,179.92,179.92,2804495,2804400,-1.2,-0.66254,180.43,"December 28, 23",-0.0066254
