date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-01,123.03125,123.0625,122.46875,122.9375,122.9375,62801,62801,-0.09375,-0.07620015,122.82,"February 01, 24",-0.0007620015
2024-01-31,121.5625,123,121.40625,122.90625,122.90625,764654,764654,1.34375,1.11,122.44,"January 31, 24",0.0111
2024-01-30,120.75,121.59375,120.59375,121.25,121.25,371321,371321,0.5,0.41408,121.15,"January 30, 24",0.0041408
2024-01-29,119.90625,121.03125,119.71875,120.53125,120.53125,371321,371321,0.625,0.52124,120.43,"January 29, 24",0.0052124
2024-01-28,119.90625,120,119.78125,119.84375,119.84375,2821,2821,-0.0625,-0.05212406,119.88,"January 28, 24",-0.0005212406
2024-01-26,119.90625,120.375,119.375,119.5625,119.5625,329373,329373,-0.34375,-0.28668,119.77,"January 26, 24",-0.0028668
2024-01-25,119.28125,120.125,119,119.8125,119.8125,404028,404028,0.53125,0.44538,119.65,"January 25, 24",0.0044538
2024-01-24,120.03125,120.65625,119.125,119.21875,119.21875,488404,488404,-0.8125,-0.67691,119.67,"January 24, 24",-0.0067691
2024-01-23,120.625,120.8125,119.625,119.8125,119.8125,346008,346008,-0.8125,-0.67358,120.08,"January 23, 24",-0.0067358
2024-01-22,120.25,121.15625,120.125,120.71875,120.71875,320882,320882,0.46875,0.38981,120.67,"January 22, 24",0.0038981
2024-01-21,120.25,120.28125,120.125,120.125,120.125,1533,1533,-0.125,-0.10395,120.18,"January 21, 24",-0.0010395
2024-01-19,119.96875,120.40625,119.3125,120,120,403169,403169,0.03125,0.02604845,119.91,"January 19, 24",0.0002604845
2024-01-18,120.75,121.09375,119.6875,119.90625,119.90625,425125,425125,-0.84375,-0.69876,120.23,"January 18, 24",-0.0069876
2024-01-17,121.125,121.5625,120.375,120.78125,120.78125,560594,560594,-0.34375,-0.2838,120.91,"January 17, 24",-0.002838
2024-01-16,123.0625,123.09375,120.84375,121.0625,121.0625,623981,623981,-2,-1.63,121.67,"January 16, 24",-0.0163
2024-01-15,123.0625,123.09375,122.28125,122.65625,122.65625,472063,472063,-0.40625,-0.33012,122.68,"January 15, 24",-0.0033012
2024-01-14,123.0625,123.09375,122.90625,123,123,1186,1186,-0.0625,-0.0507872,123,"January 14, 24",-0.000507872
2024-01-12,122.90625,123.40625,122.28125,122.875,122.875,472063,472063,-0.03125,-0.02542588,122.85,"January 12, 24",-0.0002542588
2024-01-11,122.15625,123.46875,121.46875,122.71875,122.71875,557825,557825,0.5625,0.46048,122.55,"January 11, 24",0.0046048
2024-01-10,122.4375,122.9375,121.9375,122.15625,122.15625,372262,372262,-0.28125,-0.22971,122.34,"January 10, 24",-0.0022971
2024-01-09,122.21875,122.75,121.8125,122.40625,122.40625,359001,359001,0.1875,0.15341,122.32,"January 09, 24",0.0015341
2024-01-08,122.03125,123,121.625,122.53125,122.53125,447336,447336,0.5,0.40973,122.39,"January 08, 24",0.0040973
2024-01-07,122.03125,122.03125,121.78125,121.8125,121.8125,2510,2510,-0.21875,-0.17926,121.88,"January 07, 24",-0.0017926
2024-01-05,122.6875,123.21875,121.28125,122.03125,122.03125,570439,570439,-0.65625,-0.5349,122.18,"January 05, 24",-0.005349
2024-01-04,123.875,124.15625,122.5625,122.84375,122.84375,452215,452215,-1.03125,-0.83249,123.19,"January 04, 24",-0.0083249
2024-01-03,123.96875,124.3125,122.78125,124.125,124.125,540281,540281,0.15625,0.12604,123.74,"January 03, 24",0.0012604
2024-01-02,124.46875,124.65625,123.25,123.8125,123.8125,498700,498700,-0.65625,-0.52724,123.91,"January 02, 24",-0.0052724
2024-01-01,124.46875,124.65625,124.4375,124.65625,124.65625,1101,1101,0.1875,0.15064,124.58,"January 01, 24",0.0015064
2023-12-29,125.0625,125.28125,124.28125,124.9375,124.9375,427020,427020,-0.125,-0.09995002,124.83,"December 29, 23",-0.0009995002
2023-12-28,125.59375,125.875,124.9375,125.125,125.125,336627,336627,-0.46875,-0.37323,125.31,"December 28, 23",-0.0037323
2023-12-27,124.09375,125.9375,124,125.875,125.875,279953,279953,1.78125,1.44,125.27,"December 27, 23",0.0144
2023-12-26,123.90625,124.3125,123.8125,124.25,124.25,119155,119155,0.34375,0.27743,124.13,"December 26, 23",0.0027743
2023-12-25,123.90625,123.9375,123.875,123.90625,123.90625,322,322,0,0,123.91,"December 25, 23",0
2023-12-22,124.03125,124.71875,123.625,123.78125,123.78125,264909,264909,-0.25,-0.20156,124.04,"December 22, 23",-0.0020156
2023-12-21,124.625,124.9375,123.875,123.96875,123.96875,398470,398470,-0.65625,-0.52658,124.26,"December 21, 23",-0.0052658
2023-12-20,123.5,124.75,123.46875,124.375,124.375,522150,522150,0.875,0.7085,124.2,"December 20, 23",0.007085
2023-12-19,123.9375,124.0625,123.5625,123.71875,123.71875,343848,343848,-0.21875,-0.1765,123.78,"December 19, 23",-0.001765
2023-12-18,123.75,123.75,123.25,123.25,123.25,106,106,-0.5,-0.40404,123.42,"December 18, 23",-0.0040404
2023-12-17,123.875,123.90625,123.71875,123.78125,123.78125,1777,1777,-0.09375,-0.07568113,123.8,"December 17, 23",-0.0007568113
2023-12-15,123.6875,124,123.65625,123.84375,123.84375,95,95,0.15625,0.12633,123.83,"December 15, 23",0.0012633
2023-12-14,122.6875,123.75,122.40625,123.34375,123.34375,55,55,0.65625,0.5349,123.17,"December 14, 23",0.005349
2023-12-13,119.96875,121.75,119.96875,121.625,121.625,86,86,1.65625,1.38,121.11,"December 13, 23",0.0138
2023-12-12,119.375,119.96875,118.90625,119.5,119.5,980,980,0.125,0.10471,119.46,"December 12, 23",0.0010471
2023-12-11,119.09375,119.09375,118.4375,119.03125,119.03125,75,75,-0.0625,-0.05247966,118.85,"December 11, 23",-0.0005247966
2023-12-10,119.125,119.15625,119,119,119,2562,2562,-0.125,-0.10493,119.05,"December 10, 23",-0.0010493
2023-12-08,119.84375,119.90625,118.53125,119.03125,119.03125,141,141,-0.8125,-0.67797,119.16,"December 08, 23",-0.0067797
2023-12-07,120.625,120.625,119.65625,120.28125,120.28125,906,906,-0.34375,-0.28497,120.19,"December 07, 23",-0.0028497
2023-12-06,119.46875,120.75,119.125,120.5625,120.5625,732,732,1.09375,0.91551,120.15,"December 06, 23",0.0091551
2023-12-05,117.90625,119.53125,117.875,119.4375,119.4375,2545,2545,1.53125,1.3,118.95,"December 05, 23",0.013
2023-12-04,118.15625,118.25,117.34375,117.5625,117.5625,3054,3054,-0.59375,-0.50251,117.72,"December 04, 23",-0.0050251
2023-12-03,118.46875,118.5,118.125,118.15625,118.15625,3133,3133,-0.3125,-0.26378,118.26,"December 03, 23",-0.0026378
2023-12-01,116.65625,118.46875,116.46875,118.15625,118.15625,5524,5524,1.5,1.29,117.7,"December 01, 23",0.0129
2023-11-30,117.46875,117.71875,116.1875,116.4375,116.4375,17882,17882,-1.03125,-0.87789,116.78,"November 30, 23",-0.0087789
2023-11-29,116.625,117.59375,116.5,117.40625,117.40625,107163,107163,0.78125,0.66988,117.17,"November 29, 23",0.0066988
2023-11-28,116,116.6875,115.65625,116.375,116.375,547748,547748,0.375,0.32328,116.24,"November 28, 23",0.0032328
2023-11-27,114.90625,116.15625,114.46875,116.03125,116.03125,864919,864919,1.125,0.97906,115.55,"November 27, 23",0.0097906
2023-11-26,114.90625,114.9375,114.78125,114.78125,114.78125,2296,2296,-0.125,-0.10878,114.83,"November 26, 23",-0.0010878
2023-11-24,115.9375,116.25,114.75,114.84375,114.84375,372458,372458,-1.09375,-0.9434,115.28,"November 24, 23",-0.009434
2023-11-23,115.9375,116.25,115.25,115.4375,115.4375,744893,744893,-0.5,-0.43127,115.65,"November 23, 23",-0.0043127
2023-11-22,115.9375,116.5,115.46875,115.875,115.875,744893,744893,-0.0625,-0.05390836,115.95,"November 22, 23",-0.0005390836
2023-11-21,115.78125,116.4375,115.25,115.625,115.625,663042,663042,-0.15625,-0.13495,115.77,"November 21, 23",-0.0013495
2023-11-20,115.3125,116.0625,114.6875,115.8125,115.8125,512825,512825,0.5,0.4336,115.52,"November 20, 23",0.004336
2023-11-19,115.3125,115.34375,115.03125,115.125,115.125,1561,1561,-0.1875,-0.1626,115.17,"November 19, 23",-0.001626
2023-11-17,115.28125,116.15625,114.84375,115.40625,115.40625,445292,445292,0.125,0.10843,115.47,"November 17, 23",0.0010843
