ZB=F,EUR=X,CHFUSD,GLD
113.656303,0.77226,0.853534,44.38
112.718803,0.76693,0.861995,44.78
113.3125,0.76687,0.859771,44.95
113.25,0.76353,0.864155,44.75
113.1875,0.75884,0.873134,45.05
112.656303,0.75216,0.878194,45.29
111.468803,0.75386,0.874738,45.4
111.093803,0.75199,0.877578,45.12
110.968803,0.74929,0.876808,45.38
110.625,0.75409,0.867604,44.95
112.093803,0.74261,0.885191,45.6
112.468803,0.74649,0.876117,45.17
112.656303,0.74455,0.876885,45.11
114.031303,0.74934,0.870701,44.01
113.5625,0.75165,0.868885,43.78
113.656303,0.75666,0.861549,43.44
113.781303,0.75075,0.867227,43.91
114.125,0.75137,0.866852,43.55
114.875,0.74605,0.875733,43.99
113.531303,0.75466,0.86326,43.68
113.343803,0.75115,0.864753,44.19
113.75,0.74671,0.869868,44.34
112.875,0.748,0.866776,44.22
112.468803,0.74677,0.867679,44.02
112.281303,0.74008,0.874814,44.27
111.3125,0.734,0.881368,44.48
111.375,0.73562,0.881135,44.37
111.0625,0.73492,0.882068,43.66
111.75,0.73378,0.882301,43.83
112.5,0.73719,0.876808,43.8
112.531303,0.74239,0.87184,43.02
111.781303,0.7529,0.856458,42.74
112.0625,0.75301,0.856971,42.67
112.093803,0.75855,0.851789,42.15
112.093803,0.76564,0.844523,41.84
112.343803,0.76278,0.847889,41.95
112.875,0.76237,0.845738,42.21
113.0,0.75438,0.856458,42.6
113.656303,0.75694,0.85317,42.6
113.4375,0.76342,0.848104,42.32
113.906303,0.76817,0.843668,42.32
113.968803,0.76905,0.843811,42.26
114.156303,0.77143,0.840195,42.25
114.375,0.76929,0.843597,42.74
114.718803,0.76693,0.843882,42.77
113.9375,0.77095,0.837942,42.24
113.9375,0.76464,0.845666,42.69
113.875,0.76681,0.844381,42.62
114.656303,0.76658,0.843526,42.69
114.843803,0.76617,0.841893,42.22
114.8125,0.76693,0.839842,42.1
114.875,0.76734,0.838223,42.16
114.8125,0.77089,0.831601,41.68
115.906303,0.77773,0.824266,41.47
116.468803,0.78345,0.817127,41.27
116.75,0.78309,0.819001,41.26
117.218803,0.78046,0.822098,41.31
116.031303,0.77664,0.828226,41.75
115.8125,0.77779,0.826788,42.08
116.218803,0.77083,0.834794,42.55
115.843803,0.76823,0.840972,42.58
115.25,0.76787,0.841751,42.52
114.781303,0.76482,0.844737,42.73
113.9375,0.76517,0.845166,42.75
113.656303,0.75409,0.863036,43.57
113.843803,0.7574,0.859106,43.42
113.75,0.75855,0.854774,43.33
113.968803,0.75494,0.860585,43.5
113.093803,0.7566,0.859254,43.53
112.906303,0.75919,0.856898,43.22
112.75,0.76127,0.852079,43.25
112.6875,0.76301,0.846668,42.97
113.6875,0.75489,0.855871,43.38
114.031303,0.75632,0.851571,43.47
113.1875,0.74895,0.861549,44.03
111.625,0.74755,0.86192,44.02
112.156303,0.74416,0.867679,44.2
111.406303,0.74223,0.870246,44.43
111.593803,0.74822,0.862292,44.03
111.3125,0.75131,0.858222,44.06
111.5625,0.74566,0.867378,44.31
111.906303,0.74744,0.864006,43.82
111.531303,0.75064,0.859402,43.89
111.406303,0.75982,0.848248,43.09
109.75,0.7647,0.841043,42.65
109.9375,0.76965,0.83619,42.42
110.156303,0.77328,0.831601,42.39
109.843803,0.77549,0.830772,42.54
110.1875,0.77292,0.833333,42.56
110.6875,0.77429,0.833333,42.61
111.375,0.77119,0.83626,42.82
111.781303,0.77465,0.83167,42.62
111.781303,0.77821,0.827198,42.4
111.593803,0.77773,0.828912,42.45
111.781303,0.77718,0.829256,42.63
111.343803,0.77821,0.828226,42.57
111.343803,0.7731,0.835841,42.69
111.843803,0.77095,0.837802,42.78
112.781303,0.77429,0.833681,42.84
112.593803,0.77447,0.833333,42.9
112.531303,0.78156,0.822774,42.31
113.5625,0.777,0.833403,42.4
113.875,0.76817,0.841963,42.69
114.375,0.7654,0.84717,43.28
114.281303,0.76412,0.849473,43.4
113.4375,0.76646,0.845309,43.19
114.0,0.76558,0.84717,43.39
114.1875,0.76959,0.841538,43.44
114.0625,0.77012,0.842673,43.64
114.343803,0.77393,0.837942,43.2
115.031303,0.77489,0.839067,43.0
114.843803,0.77664,0.83682,43.35
114.875,0.77845,0.834168,42.88
114.843803,0.77598,0.835213,42.76
114.656303,0.7722,0.839419,42.9
114.906303,0.77184,0.837802,42.91
114.0,0.78052,0.829531,42.52
114.031303,0.77791,0.830358,42.55
114.625,0.77598,0.833333,42.64
114.906303,0.7804,0.8296,42.69
115.156303,0.78858,0.821625,42.16
115.656303,0.79264,0.815727,41.95
115.625,0.79114,0.818264,41.88
115.75,0.79346,0.815993,41.86
116.3125,0.78858,0.82122,42.05
115.968803,0.79145,0.818264,41.98
115.968803,0.79637,0.811557,41.65
116.6875,0.79548,0.812216,41.62
116.9375,0.79567,0.812612,41.73
116.4375,0.79371,0.814863,41.87
116.406303,0.79911,0.808865,41.69
116.4375,0.79479,0.81314,41.88
117.468803,0.81248,0.801539,41.65
118.406303,0.81994,0.796305,41.53
118.75,0.8152,0.798913,42.1
117.8125,0.81766,0.798339,42.17
118.0625,0.81566,0.80032,42.48
118.6875,0.8144,0.802568,42.38
118.281303,0.81713,0.797512,42.34
118.031303,0.8178,0.797194,42.27
117.125,0.82393,0.788581,42.62
116.625,0.82522,0.787154,42.78
116.0625,0.83153,0.782534,42.6
116.218803,0.82495,0.78734,42.74
116.781303,0.82651,0.78604,43.46
116.781303,0.8144,0.795355,43.63
116.5,0.82291,0.786906,43.66
117.218803,0.82142,0.789889,43.81
118.4375,0.82501,0.786287,43.72
118.343803,0.83132,0.781433,44.02
118.9375,0.82658,0.784314,43.9
119.25,0.8221,0.788519,43.91
118.5,0.82829,0.781494,43.45
118.156303,0.82795,0.780396,43.63
118.75,0.82706,0.779362,43.44
117.625,0.8378,0.771367,42.7
116.8125,0.83815,0.767872,42.28
117.25,0.83829,0.767695,42.25
117.593803,0.83717,0.769942,42.36
116.843803,0.83465,0.769882,42.26
